t,s_rel,lambda_pairwise,lambda_with_hyperedge,lambda_gain
2.308617234468938,0.15861723446893805,0.8308914207144394,1.3727653906680926,0.5418739699536531
2.32064128256513,0.17064128256513023,0.8259974194311779,1.3617168646557887,0.5357194452246108
2.3326653306613228,0.18266533066132284,0.8211590034935721,1.3507938261744097,0.5296348226808376
2.344689378757515,0.19468937875751502,0.8163755415714544,1.3399948499550653,0.5236193083836109
2.3567134268537075,0.20671342685370764,0.8116464095052118,1.329318526916858,0.5176721174116461
2.3687374749498997,0.2187374749498998,0.8069709902243447,1.3187634639830246,0.5117924737586798
2.3807615230460923,0.23076152304609243,0.8023486736669487,1.308328283899161,0.5059796102322124
2.3927855711422845,0.2427855711422846,0.7977788567001134,1.2980116250535183,0.5002327683534049
2.404809619238477,0.2548096192384772,0.7932609430412223,1.2878121412993302,0.494551198258108
2.4168336673346693,0.2668336673346694,0.7887943431801498,1.27772850177917,0.4889341585990201
2.4288577154308615,0.2788577154308616,0.7843784743023393,1.2677593907512916,0.4833809164489523
2.440881763527054,0.2908817635270542,0.7800127602127555,1.2579035074179503,0.4778907472051948
2.4529058116232463,0.30290581162324637,0.7756966312607021,1.2481595657556712,0.4724629344949691
2.464929859719439,0.314929859719439,0.7714295242654912,1.2385262943474435,0.4670967700819525
2.476953907815631,0.32695390781563116,0.7672108824429582,1.2290024362168253,0.461791553773867
2.4889779559118237,0.3389779559118238,0.7630401553328111,1.2195867486639254,0.4565465933311143
2.501002004008016,0.35100200400801596,0.7589167987268051,1.2102780031032576,0.45136120437645255
2.5130260521042085,0.3630260521042086,0.7548402745977316,1.2010749849034266,0.44623471030569484
2.5250501002004007,0.37505010020040075,0.7508100510292166,1.1919764932286425,0.4411664421994259
2.5370741482965933,0.38707414829659337,0.7468256021463138,1.1829813408820313,0.43615573873571767
2.5490981963927855,0.39909819639278554,0.7428864080468868,1.1740883541507268,0.43120194610384005
2.561122244488978,0.41112224448897816,0.7389919547337711,1.165296372652719,0.42630441791894796
2.5731462925851702,0.42314629258517034,0.7351417340477067,1.1566042491854478,0.42146251513774113
2.585170340681363,0.43517034068136295,0.731335243601031,1.1480108495761092,0.41667560597507813
2.597194388777555,0.44719438877755513,0.727571986712127,1.139515052533668,0.4119430658215409
2.6092184368737477,0.45921843687374775,0.723851472340614,1.1311157495025461,0.40726427716193214
2.62124248496994,0.4712424849699399,0.7201732150232758,1.1228118445179782,0.40263862949470236
2.6332665330661325,0.48326653306613254,0.7165367348107158,1.1146022540630034,0.39806551925228767
2.6452905811623246,0.4952905811623247,0.712941557204732,1.1064859069270885,0.3935443497223565
2.657314629258517,0.5073146292585169,0.7093872130964032,1.0984617440663507,0.38907453096994754
2.6693386773547094,0.5193386773547095,0.7058732387048777,1.0905287184653716,0.3846554797604938
2.6813627254509016,0.5313627254509017,0.7023991755168593,1.0826857950005804,0.3802866194837211
2.693386773547094,0.5433867735470943,0.6989645702267772,1.0749319503051864,0.3759673800784093
2.7054108216432864,0.5554108216432865,0.6955689746776393,1.0672661726356494,0.37169719795801015
2.717434869739479,0.5674348697394791,0.6922119458025545,1.059687461739662,0.36747551593710764
2.729458917835671,0.5794589178356713,0.68889304556692,1.0521948287256364,0.3633017831587164
2.741482965931864,0.5914829659318639,0.6856118409112653,1.0447872959336684,0.35917545502240306
2.753507014028056,0.6035070140280561,0.682367903694746,1.0374638968079721,0.35509599311322615
2.7655310621242486,0.6155310621242487,0.6791608106392779,1.030223675770759,0.35106286513148116
2.7775551102204408,0.6275551102204409,0.6759901432743077,1.023065688097554,0.3470755448232461
2.7895791583166334,0.6395791583166335,0.672855487882208,1.0159889997939207,0.3431335119117127
2.8016032064128256,0.6516032064128257,0.6697564354442959,1.0089926874735964,0.3392362520293005
2.813627254509018,0.6636272545090183,0.666692581587462,1.002075838238002,0.33538325665054
2.8256513026052104,0.6756513026052104,0.663663526531408,0.9952375495571273,0.3315740230257193
2.837675350701403,0.6876753507014031,0.6606688750364804,0.9884769291517639,0.32780805411528346
2.849699398797595,0.6996993987975952,0.6577082363520999,0.9817930948770797,0.3240848585249798
2.8617234468937873,0.7117234468937874,0.6547812241657743,0.9751851746075133,0.32040395044173897
2.87374749498998,0.72374749498998,0.6518874565526924,0.9686523061229774,0.31676484957028495
2.885771543086172,0.7357715430861722,0.6490265559258885,0.9621936369963534,0.31316708107046487
2.8977955911823647,0.7477955911823648,0.6461981489869738,0.9558083244822639,0.3096101754952901
2.909819639278557,0.759819639278557,0.6434018666774279,0.94949553540711,0.306093668729682
2.9218436873747495,0.7718436873747496,0.6406373441304426,0.9432544460603551,0.3026171019299125
2.9338677354709417,0.7838677354709418,0.6379042206233132,0.9370842420870462,0.29918002146373307
2.9458917835671343,0.7958917835671344,0.63520213953037,0.9309841183815533,0.2957819788511833
2.9579158316633265,0.8079158316633266,0.632530748276446,0.9249532789825183,0.29242253070607244
2.969939879759519,0.8199398797595192,0.6298896982908697,0.9189909369689939,0.28910123867812415
2.9819639278557113,0.8319639278557114,0.6272786449619855,0.9130963143577662,0.28581766939578074
2.993987975951904,0.843987975951904,0.6246972475921848,0.907268642001839,0.2825713944096542
3.006012024048096,0.8560120240480962,0.6221451693534531,0.901507159490075,0.2793619901366219
3.0180360721442887,0.8680360721442888,0.6196220772434186,0.8958111150479744,0.2761890378045558
