time,node
10.832600,5
10.834200,4
10.845400,5
10.849200,6
10.854400,1
10.860200,3
10.914000,2
10.917200,4
10.917400,2
10.922700,2
10.947600,3
10.965000,2
10.969300,2
10.976000,2
11.003800,3
11.006400,0
11.026100,2
11.056400,3
11.080400,0
11.092800,2
11.110200,4
11.110500,5
11.144600,6
11.151500,0
11.158200,0
11.178000,0
11.185500,0
11.207200,3
11.215500,3
11.247900,3
11.251000,6
11.263600,0
11.264700,3
11.265900,2
11.270400,2
11.281600,3
11.284900,0
11.296100,0
11.302600,0
11.306400,3
11.310300,0
11.310300,6
11.312400,3
11.318100,0
11.327200,6
11.342300,0
11.350900,0
11.373600,0
11.383100,0
11.411600,2
11.422200,6
11.447700,4
11.455000,2
11.458700,2
11.458900,4
11.465300,4
11.483100,4
11.490800,4
11.512700,0
11.520000,0
11.549800,0
11.572400,6
11.584200,0
11.590000,3
11.593800,0
11.624700,0
11.673800,6
11.691700,4
11.702100,3
11.709500,2
11.710000,0
11.713400,2
11.728400,3
11.731500,4
11.736000,3
11.737900,4
11.748800,4
11.750400,0
11.757700,4
11.767900,4
11.776300,4
11.785700,2
11.787600,0
11.790700,2
11.797200,2
11.802700,2
11.823700,0
11.833700,0
11.852500,6
11.857200,6
11.868900,0
11.880500,0
11.888500,6
11.889500,0
11.913600,0
11.933000,4
11.941900,4
11.947400,0
11.969200,4
11.975000,0
11.977600,4
11.983300,1
11.990300,4
12.004000,4
12.050900,0
12.057200,0
12.066800,0
12.077600,3
12.092600,6
12.099900,6
12.130400,6
12.134300,3
12.156800,3
12.163200,3
12.165400,2
12.169200,2
12.173900,2
12.178400,3
12.194100,3
12.216500,0
12.236200,0
12.245800,0
12.272500,0
12.305600,6
12.348100,0
12.367800,6
12.370900,0
12.392500,2
12.396500,2
12.397300,4
12.399400,0
12.406200,0
12.410200,4
12.422000,4
12.440500,4
12.448300,2
12.449300,0
12.452400,2
12.455200,2
12.472500,4
12.480400,4
12.498900,2
12.505300,2
12.510600,2
12.572100,0
12.589000,0
12.609000,0
12.627900,0
12.636700,3
12.660900,2
12.664700,2
12.671000,3
12.687700,2
12.688900,6
12.692200,3
12.693000,6
12.699300,6
12.715200,3
12.721100,3
12.727600,3
12.728900,0
12.745900,0
12.763800,4
12.768800,0
12.769900,4
12.781100,4
12.791500,4
12.803800,4
12.814400,0
12.821500,0
12.832000,2
12.837100,2
12.873600,0
12.883100,0
12.887400,6
12.891200,6
12.899200,0
12.919800,0
12.927800,0
12.936800,3
12.945800,1
12.953400,0
12.960600,6
12.984900,0
13.045900,0
13.047700,5
13.051300,4
13.053500,5
13.059000,5
13.064900,5
13.072400,0
13.074600,5
13.076200,4
13.088400,4
13.101000,4
13.122000,2
13.125700,2
13.131700,0
13.146900,6
13.152600,6
13.193700,0
13.219700,0
13.229200,0
13.236500,4
13.249100,4
13.254800,0
13.257100,2
13.260900,2
13.283600,3
13.284700,0
13.300700,6
13.313300,0
13.319300,2
13.323500,2
13.331600,3
13.365300,2
13.373000,4
13.383900,4
13.410400,0
13.423400,0
13.425900,4
13.429000,0
13.437400,4
13.439700,6
13.444500,6
13.448600,4
13.449700,0
13.475900,0
13.481000,2
13.485300,2
13.554600,2
13.564200,2
13.611300,4
13.623400,4
13.625300,2
13.629900,2
13.634100,4
13.684100,4
13.691700,0
13.696100,4
13.707900,4
13.715100,0
13.721900,0
13.734900,3
13.739000,0
